"scenario","seed","signal","noise","missingness","method","subspace_angle_deg","inverse_count_correlation","contrast_error","interval_covered","null_reject","null_p","high_count_influence","empty_cell_fraction"
2,73111,"null","heteroscedastic","response","count",NA,0.296512097886952,NA,0,0,0.19,0.110399339708655,0.176851851851852
2,73111,"null","heteroscedastic","response","explicit_precision",NA,0.297414474888595,NA,0,0,0.19,0.11005577793214,0.176851851851852
2,73111,"null","heteroscedastic","response","random_effects",NA,0.296512097886952,NA,0,0,0.19,0.110399339708655,0.176851851851852
2,73111,"null","heteroscedastic","response","iid_analytic",NA,0.47925788908397,NA,1,0,0.19,0.0690999033646092,0.176851851851852
2,73111,"null","heteroscedastic","response","covariance_analytic",NA,0.0516160222345976,NA,0,0,0.19,0.0690999033646092,0.176851851851852
2,73111,"null","heteroscedastic","response","split_half",NA,0.377043201399836,NA,1,0,0.19,0.278417405453498,0.176851851851852
2,73112,"null","heteroscedastic","response","legacy",NA,0.600971619674481,NA,0,0,0.634,0.0688444085870556,0.169444444444444
2,73112,"null","heteroscedastic","response","count",NA,0.558476426715718,NA,0,0,0.634,0.0993525857424251,0.169444444444444
2,73112,"null","heteroscedastic","response","explicit_precision",NA,0.555240858756287,NA,0,0,0.634,0.10008553426454,0.169444444444444
2,73112,"null","heteroscedastic","response","random_effects",NA,0.558476426715718,NA,0,0,0.634,0.0993525857424251,0.169444444444444
2,73112,"null","heteroscedastic","response","iid_analytic",NA,0.534984511084287,NA,1,0,0.634,0.0688444085870556,0.169444444444444
2,73112,"null","heteroscedastic","response","covariance_analytic",NA,0.135528468758004,NA,1,0,0.634,0.0688444085870556,0.169444444444444
2,73112,"null","heteroscedastic","response","split_half",NA,0.0456577900090161,NA,1,0,0.634,0.265980586292259,0.169444444444444
